,layer,test acc,train acc,Intervention Acc,Intervention Acc Display,Intervention Acc Objects
0,0,0.535375,0.556,0.056875,0.05625,0.0575
1,1,0.554875,0.643875,0.08125,0.07925,0.08325
2,2,0.818,0.889875,0.25525,0.28425,0.22625
3,3,0.898875,0.966875,0.60925,0.54025,0.67825
4,4,0.89925,0.989125,0.3825,0.286,0.479
5,5,0.976,0.99075,0.19925,0.161,0.2375
6,6,0.969,0.99375,0.073875,0.0675,0.08025
7,7,0.975875,0.994,0.05775,0.05625,0.05925
8,8,0.975875,0.997875,0.0555,0.056,0.055
9,9,0.973125,0.995125,0.05325,0.053,0.0535
10,10,0.974,0.992125,0.0535,0.0535,0.0535
11,11,0.969625,0.993375,0.0535,0.0535,0.0535
