,layer,train_loss,train_acc,test_loss,test_acc,sampled_loss,sampled_acc,random_loss,random_acc,interpolated_loss,interpolated_acc
0,0,3.061,0.047,3.002,0.064,3.027,0.041,2.525,0.163,3.017,0.04
1,1,3.14,0.022,3.075,0.038,2.053,0.346,2.669,0.148,2.026,0.354
2,2,3.048,0.05,2.993,0.065,1.621,0.49,2.087,0.34,1.611,0.491
3,3,2.879,0.102,2.828,0.115,1.568,0.497,2.065,0.346,1.576,0.497
4,4,2.605,0.106,2.527,0.129,2.028,0.261,2.768,0.099,2.323,0.193
5,5,1.542,0.199,1.507,0.201,1.521,0.235,1.84,0.115,1.491,0.239
6,6,1.67,0.23,1.634,0.242,1.301,0.255,1.412,0.168,1.366,0.297
