,layer,train_loss,train_acc,val_loss,val_acc,iid_test_loss,iid_test_acc,ood_test_loss,ood_test_acc,sampled_loss,sampled_acc,added_loss,added_acc,random_loss,random_acc,interpolated_loss,interpolated_acc
0,0,0.478,0.914,0.997,0.82,1.065,0.806,1.517,0.728,2.473,0.582,1.579,0.721,2.525,0.564,1.941,0.668
1,1,0.109,0.981,0.463,0.911,0.505,0.903,0.965,0.825,1.997,0.651,1.005,0.817,2.229,0.602,1.711,0.7
2,2,0.317,0.944,0.909,0.825,0.973,0.819,1.645,0.698,3.229,0.443,2.144,0.61,3.096,0.477,2.179,0.626
3,3,3.121,0.475,3.46,0.416,3.593,0.395,3.833,0.356,3.504,0.421,3.383,0.436,3.479,0.414,3.412,0.431
4,4,3.765,0.367,3.872,0.346,3.939,0.336,4.082,0.316,3.321,0.452,3.428,0.429,3.047,0.496,3.636,0.394
5,5,5.335,0.107,5.264,0.124,5.357,0.109,4.876,0.189,5.067,0.157,5.263,0.123,2.987,0.494,5.227,0.131
6,6,5.929,0.031,5.9,0.033,5.91,0.033,5.309,0.12,5.837,0.043,5.902,0.035,3.428,0.353,5.863,0.036
7,7,6.105,0.009,6.074,0.01,6.05,0.013,5.497,0.095,6.057,0.014,6.058,0.012,5.363,0.085,6.052,0.013
8,8,6.106,0.008,6.077,0.009,6.052,0.013,5.504,0.092,6.045,0.015,6.065,0.011,5.561,0.053,6.06,0.013
9,9,5.981,0.005,5.936,0.01,5.928,0.01,5.392,0.086,5.993,0.01,6.064,0.011,2.832,0.033,5.999,0.01
10,10,6.133,0.005,6.091,0.009,6.071,0.011,5.537,0.087,6.071,0.011,6.071,0.011,6.071,0.011,6.071,0.011
11,11,6.133,0.005,6.091,0.009,6.071,0.011,5.537,0.087,6.071,0.011,6.071,0.011,6.071,0.011,6.071,0.011
