,layer,train_loss,train_acc,test_loss,test_acc,gen_loss,gen_acc,sampled_loss,sampled_acc,random_loss,random_acc,interpolated_loss,interpolated_acc
0,3,2.483,0.247,2.439,0.333,2.439,0.333,2.411,0.278,2.987,0.167,2.857,0.222
1,4,2.726,0.215,2.599,0.278,2.599,0.278,2.714,0.278,2.539,0.278,2.679,0.222
2,5,2.828,0.208,2.737,0.278,2.737,0.278,2.91,0.222,2.812,0.278,3.08,0.222
