,layer,train_loss,train_acc,test_loss,test_acc,sampled_loss,sampled_acc,half_sampled_loss,half_sampled_acc,interpolated_loss,interpolated_acc
0,0,0.011,0.999,0.154,0.96,1.566,0.608,0.446,0.883,0.061,0.986
1,1,0.009,1.0,0.107,0.973,2.162,0.486,0.784,0.807,0.071,0.983
2,2,0.011,0.999,0.125,0.967,2.038,0.524,0.358,0.911,0.015,0.998
3,3,2.08,0.563,2.418,0.475,2.749,0.404,1.935,0.576,1.34,0.703
