,layer,train_loss,train_acc,test_loss,test_acc,gen_loss,gen_acc,sampled_loss,sampled_acc,added_loss,added_acc,random_loss,random_acc,interpolated_loss,interpolated_acc
0,0,0.363,0.932,0.861,0.841,1.283,0.771,2.621,0.561,1.343,0.755,2.758,0.535,2.379,0.599
1,1,0.103,0.981,0.489,0.909,0.911,0.833,2.117,0.631,1.53,0.733,2.578,0.544,2.006,0.653
2,2,0.415,0.921,1.009,0.815,1.598,0.703,3.055,0.467,2.08,0.627,3.109,0.471,2.403,0.577
3,3,3.158,0.467,3.509,0.404,3.742,0.372,3.407,0.435,3.372,0.436,3.278,0.455,3.511,0.418
4,4,3.805,0.358,3.887,0.342,4.118,0.312,3.502,0.413,3.789,0.371,3.046,0.496,3.639,0.391
5,5,5.195,0.142,5.336,0.123,4.955,0.173,4.701,0.216,4.598,0.231,4.33,0.247,4.697,0.218
6,6,5.771,0.054,5.743,0.053,5.296,0.123,5.729,0.058,4.343,0.268,3.39,0.416,5.66,0.067
7,7,6.097,0.01,6.059,0.013,5.488,0.092,6.07,0.011,6.066,0.011,5.414,0.076,6.064,0.011
8,8,6.084,0.009,6.042,0.014,5.449,0.093,6.043,0.01,5.863,0.016,6.047,0.014,6.06,0.012
9,9,5.941,0.006,5.938,0.012,5.379,0.086,5.898,0.011,6.077,0.009,2.866,0.033,5.995,0.011
10,10,6.126,0.006,6.084,0.011,5.535,0.086,6.084,0.011,6.084,0.011,6.084,0.011,6.084,0.011
11,11,6.126,0.006,6.084,0.011,5.535,0.086,6.084,0.011,6.084,0.011,6.084,0.011,6.084,0.011
