,layer,val acc,train acc,Intervention Acc,Intervention Acc Display,Intervention Acc Objects
0,0,0.742,0.946,0.275,0.365,0.185
1,1,0.7485,0.9625,0.2725,0.48,0.065
2,2,0.8535,0.993,0.4425,0.655,0.23
3,3,0.93,0.999,0.9125,0.96,0.865
4,4,0.9875,1.0,0.975,0.985,0.965
5,5,0.9945,1.0,0.9675,0.955,0.98
6,6,0.997,1.0,0.3125,0.385,0.24
7,7,0.9975,1.0,0.05,0.045,0.055
8,8,0.998,1.0,0.03,0.03,0.03
9,9,0.997,1.0,0.03,0.03,0.03
10,10,0.998,1.0,0.03,0.03,0.03
11,11,0.9965,1.0,0.03,0.03,0.03
